epoch,train_loss,val_loss
0,N/A,1.1902486085891724
0,1.1889479160308838,1.1893796920776367
1,0.9720993041992188,0.9680727124214172
2,0.9303438663482666,0.9321397542953491
3,0.814250111579895,0.8055989146232605
4,0.6767978668212891,0.6621894836425781
5,0.6202214956283569,0.6167054772377014
6,0.5958093404769897,0.5853542685508728
7,0.5576940178871155,0.5760208964347839
8,0.5631612539291382,0.5531932711601257
9,0.5368032455444336,0.5581856966018677
8,N/A,0.5651828646659851
9,0.5368032455444336,0.5581856966018677
0,N/A,1.1901276111602783
0,1.1889479160308838,1.189905047416687
1,0.9702190160751343,0.9685763716697693
2,0.9346765279769897,0.937163770198822
3,0.8136895895004272,0.8134409189224243
4,0.6853945255279541,0.6797969937324524
5,0.6221497058868408,0.6144400238990784
6,0.6005585193634033,0.5945693850517273
7,0.5918524265289307,0.5616006255149841
8,0.5607486963272095,0.5564449429512024
9,0.5568059086799622,0.5353782773017883
10,0.5419633984565735,0.5487451553344727
11,0.5283238887786865,0.5397500395774841
12,0.5328174829483032,0.5338706374168396
13,0.5289367437362671,0.5417993664741516
0,N/A,1.1901276111602783
0,N/A,1.1986382007598877
