epoch,train_loss,val_loss
0,N/A,1.198731541633606
0,1.19887113571167,1.1985019445419312
1,0.9891220927238464,0.9924999475479126
2,0.9902917146682739,0.9917803406715393
3,0.9919391870498657,0.9919617772102356
4,0.9903598427772522,0.9903807640075684
5,0.9844845533370972,0.9854430556297302
6,0.921013593673706,0.9185313582420349
7,0.8382946252822876,0.8253391981124878
8,0.7570602893829346,0.75389564037323
9,0.7024444341659546,0.6897724270820618
10,0.6592065691947937,0.6603964567184448
11,0.6193703413009644,0.6207646727561951
12,0.6015697121620178,0.5901406407356262
13,0.5764212608337402,0.566092848777771
14,0.5545199513435364,0.5549671053886414
15,0.5637921094894409,0.5495765805244446
16,0.5221372842788696,0.5350955724716187
17,0.530996561050415,0.5260799527168274
18,0.539017915725708,0.5193599462509155
19,0.5233460068702698,0.513093113899231
20,0.516761302947998,0.5036743879318237
21,0.4942193627357483,0.5058067440986633
22,0.4877398610115051,0.49066588282585144
23,0.5084506273269653,0.4974142611026764
24,0.4851563572883606,0.4854179322719574
25,0.49182143807411194,0.4791887998580932626,0.48659542202949524,0.48814550042152405
27,0.4799726605415344,0.4812730848789215
28,0.4882727861404419,0.47494789958000183
29,0.4750667214393616,0.4570457637310028
30,0.4578665494918823,0.4745005667209625
31,0.46157702803611755,0.46622955799102783
32,0.47608089447021484,0.4559464752674103
33,0.47348058223724365,0.44825300574302673
34,0.46808844804763794,0.4636797606945038
35,0.45407503843307495,0.45589083433151245
36,0.46275490522384644,0.457334965467453
37,0.4623167812824249,0.4454187750816345
38,0.4506532549858093,0.44827038049697876
39,0.4485034644603729,0.4507444202899933
