epoch,step,train_loss
0,19,0.07675047963857651
0,39,0.05041757598519325
0,59,0.03744680434465408
0,79,0.06186371296644211
0,99,0.04035967215895653
0,119,0.036345768719911575
0,139,0.04579131305217743
0,159,0.041759978979825974
0,179,0.042430829256772995
0,199,0.04197420924901962
0,219,0.03892000764608383
1,239,0.04664364457130432
1,259,0.0309394970536232
1,279,0.05363493412733078
1,299,0.033733345568180084
1,319,0.040221959352493286
1,339,0.05062997341156006
1,359,0.035047147423028946
1,379,0.049595385789871216
1,399,0.02979063056409359
1,419,0.0476343147456646
1,439,0.03516874462366104
2,459,0.038148123770952225
2,479,0.035548921674489975
2,499,0.047456543892621994
2,519,0.04527982696890831
2,539,0.0426090732216835
2,559,0.04124382883310318
2,579,0.02708107978105545
2,599,0.036948081105947495
2,619,0.03390484303236008
2,639,0.04024624079465866
2,659,0.039346061646938324
3,679,0.030340010300278664
3,699,0.05250224098563194
3,719,0.028655700385570526
3,739,0.044399019330739975
3,759,0.036487847566604614
3,779,0.02771943435072899
3,799,0.028524406254291534
3,819,0.029752904549241066
3,839,0.039173584431409836
3,859,0.029226884245872498
3,879,0.032669033855199814
4,899,0.045488499104976654
